,,,,,,Date,,,,,,,,,Terms,,,,,,,,,,,,,,Results,,,,,,,,,,Pricing,,,,,,Market Pricing,,,,,,,Trading Statistics,,,,,,,,,,cust_trr_start_dt,cust_trr_end_dt,cust_trr_return_holding_per,,,,Predicted Participation at Tender Price,,,,,,,,,Predicted Premium of Tender Price,,,,,,,,,
,"Announce NSN IVU1MZ3T6SQP <GO>}, Prelim NSN IXCQYH3PWT1E <GO>, Final NSN IXM0GW3TCF0H <GO>",BCO US,BCO US Equity,Brink's Co/The,#N/A,11/15/2005,4/6/2006,11/14/05,3/30/06,4/7/06,20050815,20051114,141,,$47.50,$52.50,10.0,10.0,$475.0,$525.0,X,10.4,,#N/A,#N/A,#N/A,#N/A,,10.4,N/A,$51.20,#N/A,10.4,$530.2,100.0%,96.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,12.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,123.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,123.56%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,123.56%,,#N/A,,,
,"Announce  NSN IW9V353PWT1E <GO>, Commence  NSN IWZS223V2801 <GO>, Prelim  NSN IYFQW33V7U9V <GO>, Final NSN IYQUNP3V2803 <GO>",CBRL US,CBRL US Equity,Cracker Barrel Old Country Store Inc,#N/A,3/17/2006,4/27/2006,3/16/06,4/20/06,4/28/06,20051215,20060316,40,,$42.00,$46.00,16.8,16.8,$703.5,$770.5,X,,,#N/A,#N/A,#N/A,#N/A,,23.5,N/A,$42.00,#N/A,16.8,$703.5,71.3%,71.3%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,20.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,119.9%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,119.92%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,119.92%,,#N/A,,,
,"Commence NSN IWMX8D3V2801 <GO>, Ammend NSN IY8CJV3PWT1D <GO>, Prelim NSN IYQQV13V2801 <GO>, Final NSN IZ0NRD3V2801 <GO>",CAC US,CAC US Equity,Camden National Corp,#N/A,3/24/2006,5/3/2006,3/23/06,4/26/06,5/4/06,20051222,20060323,39,,$36.50,$40.25,0.8,0.8,$27.4,$30.3,X,0.9,,#N/A,#N/A,#N/A,#N/A,,0.9,1.3,$39.00,#N/A,0.9,$34.6,100.0%,84.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53.3%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,53.31%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,53.31%,,#N/A,,,
,"Announce  NSN IX7D6E3PWT1D <GO>, Ammend  NSN IYRI4L3TCF0H <GO>, Prelim  NSN IZIETJ3PWT1D <GO>, Final  NSN IZUAZD3T6SQP <GO>, ",GIW US,GIW US Equity,Wilber Corp,#N/A,4/4/2006,5/18/2006,4/3/06,5/11/06,5/19/06,20060102,20060403,44,,$9.90,$11.40,0.7,0.7,$6.4,$7.4,X,,,#N/A,#N/A,#N/A,#N/A,,0.5,0.5,$11.40,#N/A,0.5,$6.1,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.7%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-1.74%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-1.74%,,#N/A,,,
,"Announce NSN IYE4DD3V7U9T <GO>, Final NSN J02XJD3V2802 <GO>",SYMSQ US,SYMSQ US Equity,Syms Corp,#N/A,4/27/2006,5/26/2006,4/26/06,5/19/06,5/30/06,20060125,20060426,29,,$16.00,$18.00,3.4,3.4,$53.6,$60.3,X,,,#N/A,#N/A,#N/A,#N/A,,0.4,0.4,$18.00,#N/A,0.4,$7.9,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.1%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,13.15%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,13.15%,,#N/A,,,
,"Class A stock: Announce NSN IZ1QLP3V2803 <GO>, Commence NSN IZEW4D3V2801 <GO>, Prelim  NSN J0WKCD3V7U9U <GO>, Final NSN J1BDED3V7U9T <GO>",CMLS US,CMLS US Equity,Cumulus Media Inc,#N/A,5/10/2006,6/14/2006,5/9/06,6/7/06,6/15/06,20060207,20060509,34,,$11.00,$12.50,11.5,11.5,$126.5,$143.8,X,,,#N/A,#N/A,#N/A,#N/A,,15.3,N/A,$11.50,#N/A,11.5,$132.3,74.9%,74.9%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,5.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,48.8%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,48.77%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,48.77%,,#N/A,,,
,"Announce  NSN J201X13V7U9T <GO>, Commence NSN J26QM23V2808 <GO> Prelim  NSN J3OHC63V2809 <GO>, Final NSN J3UNK13V7U9U <GO>",LI US,LI US Equity,Laidlaw International Inc,#N/A,7/7/2006,8/7/2006,7/6/06,7/31/06,8/8/06,20060406,20060706,30,,$25.50,$28.50,15.0,15.0,$382.5,$427.5,X,15.6,,#N/A,#N/A,#N/A,#N/A,,15.6,N/A,$26.90,#N/A,15.6,$418.5,100.0%,96.4%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,7.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49.3%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,49.34%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,49.34%,,#N/A,,,
,"Announce  NSN J28MOP3T6SQQ <GO>, Prelim  NSN J4EG8P3T6SQP <GO>, Final  NSN J4S0X43T6SQP <GO>",MIR US,MIR US Equity,Mirant Corp,#N/A,7/11/2006,8/21/2006,7/10/06,8/14/06,8/22/06,20060410,20060710,40,,$25.75,$29.00,43.0,43.0,"$1,107.3","$1,247.0",X,,,#N/A,#N/A,#N/A,#N/A,,50.2,N/A,$28.50,#N/A,43.0,"$1,225.5",85.6%,85.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,7.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.3%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,18.28%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,18.28%,,#N/A,,,
,"Announce  NSN J2PXLL3T6SQP <GO>, Prelim NSN J472SA3T6SQP <GO>, Final  NSN J4I6SL3T6SQP <GO>",MSFT US,MSFT US Equity,Microsoft Corp,#N/A,7/21/2006,8/17/2006,7/20/06,8/10/06,8/18/06,20060420,20060720,26,,$22.50,$24.75,808.1,808.1,"$18,181.8","$20,000.0",X,,,#N/A,#N/A,#N/A,#N/A,,154.5,154.5,$24.75,#N/A,154.5,"$3,824.3",100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-573.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-71.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-70.96%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-70.96%,,#N/A,,,
,"NSN J17IK33V2805 <GO>, Announce NSN J3MO253V2803 <GO>, Prelim NSN J5L2TT3V2805 <GO>, Final  NSN J5T4YV3V2801 <GO>, ",ACXM US,ACXM US Equity,Acxiom Corp,#N/A,7/21/2006,9/12/2006,7/20/06,9/5/06,9/13/06,20060420,20060720,51,,$25.00,$27.00,11.1,11.1,$277.8,$300.0,X,,,#N/A,#N/A,#N/A,#N/A,,15.1,33.4,$25.00,#N/A,11.1,$277.8,73.8%,73.8%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,3.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.8%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,28.85%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,28.85%,,#N/A,,,
,"Announce  NSN J3UOVN3TCF0H <GO>, Commence  NSN J41EMC3T6SQP <GO>, Ammend  NSN J65CN83T6SQP <GO>, Prelim  NSN J6V9Z93T6SQP <GO>, Final NSN J72ON83T6SQP <GO>, ",SONC US,SONC US Equity,Sonic Corp,#N/A,8/14/2006,10/6/2006,8/11/06,9/29/06,10/9/06,20060512,20060811,52,,$19.50,$23.00,24.3,24.3,$474.8,$560.0,X,,,#N/A,#N/A,#N/A,#N/A,,15.9,15.9,$23.00,#N/A,15.9,$366.1,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,4.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.3%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,16.28%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,16.28%,,#N/A,,,
,"Commence NSN J3ZIK33V2802 <GO>, Prelim NSN J5HPO43V2801 <GO>, Final  NSN J5T2A73V2803 <GO>, ",SVNT US,SVNT US Equity,Savient Pharmaceuticals Inc,#N/A,8/9/2006,9/11/2006,8/8/06,9/1/06,9/12/06,20060509,20060808,32,,$5.80,$6.80,10.0,10.0,$58.0,$68.0,X,,,#N/A,#N/A,#N/A,#N/A,,12.5,12.5,$6.80,#N/A,10.0,$68.0,80.0%,80.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,6.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,68.41%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,68.41%,,#N/A,,,
,"Commence  NSN J42AYB3T6SQP <GO>}, Prelim  NSN J5L2S73T6SQP <GO>, Final NSN J5UYGD3T6SQP <GO>",IP US,IP US Equity,International Paper Co,#N/A,8/15/2006,9/13/2006,8/14/06,9/6/06,9/14/06,20060515,20060814,28,,$32.50,$36.00,41.7,41.7,"$1,354.2","$1,500.0",X,,,#N/A,#N/A,#N/A,#N/A,,38.5,38.5,$36.00,#N/A,38.5,"$1,384.7",100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-11.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-26.9%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-26.86%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-26.86%,,#N/A,,,
,"Announce NSN J472BD3V7U9T <GO>, Commence  NSN J4K0AD3V2801 <GO>, Final  NSN J65BYC3V2805 <GO>",ALSC US,ALSC US Equity,Alliance Semiconductor Corp,#N/A,8/18/2006,9/22/2006,8/17/06,9/15/06,9/25/06,20060518,20060817,34,,$2.75,$3.00,10.9,10.9,$30.0,$32.7,X,,,#N/A,#N/A,#N/A,#N/A,,3.0,3.0,$3.00,#N/A,3.0,$8.9,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,1.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.3%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,9.34%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,9.34%,,#N/A,,,
,"Commence NSN J4PIOL3T6SQR <GO>, final  NSN J6PT5P3T6SQP <GO>",3362726Q US,3362726Q US Equity,Realogy Corp,#N/A,8/24/2006,9/26/2006,8/23/06,9/19/06,9/27/06,20060724,20060823,32,,$20.00,$23.00,32.0,32.0,$640.0,$736.0,X,37.0,,#N/A,#N/A,#N/A,#N/A,,37.3,37.3,$23.00,#N/A,37.0,$851.0,99.2%,85.8%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,4.1,34.00,#N/A,#N/A,#N/A,#N/A,#N/A,12.7%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,12.71%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,12.71%,,#N/A,,,
,"Commence NSN J4Q66B3PWT1D <GO>, Prelim NSN J69P3Q3PWT1D <GO>, Final  NSN J6KJMY3PWT1F <GO>",CACC US,CACC US Equity,Credit Acceptance Corp,#N/A,8/29/2006,9/26/2006,8/28/06,9/19/06,9/27/06,20060529,20060828,27,,$28.00,$31.50,3.5,3.5,$98.0,$110.3,X,,,#N/A,#N/A,#N/A,#N/A,,22.6,22.6,$31.50,#N/A,3.5,$110.3,15.5%,15.5%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-0.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-21.2%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-21.17%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-21.17%,,#N/A,,,
,"Announce NSN J56WVV3TCF0H <GO>, Commence  NSN J5AJ7Z3TCF0H <GO>, Prelim NSN J6PTE43T6SQP <GO>, Final NSN J70W293T6SQQ <GO>",LAWS US,LAWS US Equity,Lawson Products Inc/DE,#N/A,9/7/2006,10/5/2006,9/6/06,9/28/06,10/6/06,20060607,20060906,28,,$37.50,$43.00,1.0,1.0,$37.5,$43.0,X,,,#N/A,#N/A,#N/A,#N/A,,0.5,0.5,$43.00,#N/A,0.5,$20.9,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,29.43%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,29.43%,,#N/A,,,
,"Annopunce  NSN J4QG063T6SQP <GO>, Commence NSN J4TFSD3PR6RL <GO>,  Ammend  NSN J67X073T6SQP <GO>, Prelim NSN J70XG83T6SQP <GO>, Final  NSN J7A6S83T6SQP <GO>",EAT US,EAT US Equity,Brinker International Inc,#N/A,8/29/2006,10/11/2006,8/28/06,10/4/06,10/12/06,20060529,20060828,42,,$35.25,$40.00,11.3,11.3,$396.6,$450.0,X,,,#N/A,#N/A,#N/A,#N/A,,1.3,1.3,$40.00,#N/A,1.3,$50.4,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,5.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,49.44%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,49.44%,,#N/A,,,
,"Announce NSN J7AV313V2801 <GO>, Commence NSN J7BVZ63PWT1D <GO>, Prelim NSN J8VTOP3V2802 <GO>, Final  NSN J94X7L3PWT1F <GO>, ",3022239Q US,3022239Q US Equity,Wendy's International Inc,#N/A,10/12/2006,11/16/2006,10/11/06,11/9/06,11/17/06,20060712,20061011,34,,$33.00,$36.00,22.2,22.2,$733.3,$800.0,X,22.4,,#N/A,#N/A,#N/A,#N/A,,22.4,27.9,$35.75,#N/A,22.4,$801.3,100.0%,99.1%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,15.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,70.47%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,70.47%,,#N/A,,,
,"Announce  NSN J7L9S73PWT1E <GO>, Prelim  NSN JAH2WB3T6SQP <GO>, Final  NSN JANK3H3T6SQP <GO>",SONE US,SONE US Equity,S1 Corp,#N/A,10/23/2006,12/14/2006,10/20/06,12/7/06,12/15/06,20060721,20061020,51,,$4.75,$5.25,10.5,11.6,$55.0,$55.0,,,,#N/A,#N/A,#N/A,#N/A,,14.0,14.0,$5.25,#N/A,10.5,$55.0,74.7%,74.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,23.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,213.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,213.45%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,213.45%,,#N/A,,,
,"Commence  NSN J92WX13V2802 <GO>, Prelim  NSN JAKEC13V2803 <GO>, Final  NSN JAN9KP3V2801 <GO>",JACK US,JACK US Equity,Jack in the Box Inc,#N/A,11/21/2006,12/19/2006,11/20/06,12/12/06,12/20/06,20060821,20061120,28,,$55.00,$61.00,5.5,5.5,$302.5,$335.5,X,,,#N/A,#N/A,#N/A,#N/A,,2.3,2.3,$61.00,#N/A,2.3,$142.5,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,4.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.7%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,85.73%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,85.73%,,#N/A,,,
158,"Announce  NSN J9VEKD3V7U9U <GO>, Commence  NSN JA7O033V2804 <GO>, Prelim NSN JBRC623V7U9W <GO>, Final  NSN JC2O313V2801 <GO>",CBRL US,CBRL US Equity,Cracker Barrel Old Country Store Inc,#N/A,12/7/2006,1/11/2007,12/6/06,1/4/07,1/12/07,20060906,20061206,34,,$42.00,$46.00,5.4,5.4,$228.1,$249.8,X,,,#N/A,#N/A,#N/A,#N/A,,6.1,6.1,$46.00,#N/A,5.4,$250.0,89.7%,89.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,2.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52.2%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,52.24%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,52.24%,,#N/A,,,
159,"Announce NSN J9YWLI3T6SQP <GO>, Prelim  NSN JBPHI83T6SQP <GO>, Final  NSN JC4AUD3T6SQP <GO>",EXPE US,EXPE US Equity,Expedia Inc,#N/A,12/8/2006,1/10/2007,12/7/06,1/3/07,1/11/07,20060907,20061207,32,,$18.50,$22.00,30.0,30.0,$555.0,$660.0,X,,,#N/A,#N/A,#N/A,#N/A,,35.0,35.0,$22.00,#N/A,30.0,$660.0,85.6%,85.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,22.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76.1%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,76.12%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,76.12%,,#N/A,,,
160," Announce NSN JA5ZNA3T6SQP <GO>,Commence NSN JBNHA53T6SQQ <GO>,Ammend NSN JD43173T6SQR <GO>, prelim NSN JDIF7E3T6SQP <GO>,  Final NSN JDTHDM3T6SQP <GO>",SMG US,SMG US Equity,Scotts Miracle-Gro Co/The,#N/A,12/12/2006,2/14/2007,12/11/06,2/7/07,2/15/07,20060911,20061211,62,,$48.50,$55.50,4.5,4.5,$218.3,$249.8,X,,,#N/A,#N/A,#N/A,#N/A,,4.8,N/A,$54.50,#N/A,4.5,$245.3,93.5%,93.5%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,3.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66.3%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,66.34%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,66.34%,,#N/A,,,
161,"Commence NSN JAH2KV3T6SQP <GO>, Prelim  NSN JC4BJ63T6SQP <GO>, Final NSN JCH9T43T6SQP <GO>",WTW US,WTW US Equity,Weight Watchers International Inc,#N/A,12/18/2006,1/18/2007,12/15/06,1/10/07,1/19/07,20060915,20061215,30,,$47.00,$54.00,8.3,8.3,$390.1,$448.2,X,8.5,,#N/A,#N/A,#N/A,#N/A,,8.7,8.7,$54.00,#N/A,8.5,$461.6,98.4%,95.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,6.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,75.56%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,75.56%,,#N/A,,,
165,"Announce  NSN JCFC3B3T6SQP <GO>, Prelim NSN JE86SB3T6SQP <GO>, Final  NSN JEJGE93T6SQP <GO>",NCC US,NCC US Equity,National City Corp,#N/A,1/25/2007,2/28/2007,1/24/07,2/21/07,3/1/07,20061025,20070124,33,,$35.00,$38.75,75.0,75.0,"$2,625.0","$2,906.3",X,,,#N/A,#N/A,#N/A,#N/A,,40.3,40.3,$38.75,#N/A,40.3,"$1,562.6",100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,26.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,35.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,35.50%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,35.50%,,#N/A,,,
