RAMP US EQUITY,RAMP US,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Position ,Filing ,Filing ,Insider ,Percent , Percent of  ,,,
Holder Name ,Portfolio Name ,Position ,Change  ,Date  ,Source ,Status ,Outstanding, Portfolio ,Institution Type ,Metro Area,Country
BlackRock Inc,--,"8,620,593",-28037,9/30/2018,ULT-AGG,N-P,10.91,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Vanguard Group Inc/The,--,"6,948,310",101761,9/30/2018,ULT-AGG,N-P,8.79,0,Investment Advisor,Philadelphia,United States
Jackson Square Partners LLC,Jackson Square Partners LLC,"5,593,940",5593940,9/30/2018,13F,N-P,7.08,1.409,Investment Advisor,San Francisco/San Jose,United States
BANK OF NEW YORK MELLON CORP/THE,--,"3,632,915",-3886717,9/30/2018,ULT-AGG,N-P,4.6,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Dimensional Fund Advisors LP,Dimensional Fund Advisors LP,"3,159,325",-78994,9/30/2018,13F,N-P,4,0.059,Investment Advisor,Austin,United States
ACXIOM CO PLAN,Multiple Portfolios,"2,563,826",0,12/31/2015,MF-AGG,N-P,3.24,0,Pension Fund,Unclassified,United States
State Street Corp,--,"2,545,318",21709,9/30/2018,ULT-AGG,N-P,3.22,0,Investment Advisor,Boston,United States
Abrams Bison Investments LLC,Abrams Bison Investments LLC,"2,455,000",2455000,9/30/2018,13F,N-P,3.11,15.34,Hedge Fund Manager,Baltimore,United States
Capital Group Cos Inc/The,Capital Group Cos Inc/The,"2,413,100",2413100,9/30/2018,13F,N-P,3.05,0.055,Investment Advisor,Los Angeles/Pasadena,United States
Baron Capital Inc,--,"2,346,201",380,9/30/2018,ULT-AGG,N-P,2.97,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Newport Trust Co,Newport Trust Co,"1,753,686",-464362,9/30/2018,13F,N-P,2.22,0.242,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Northern Trust Corp,Northern Trust Corp,"1,388,325",-441602,9/30/2018,13F,N-P,1.76,0.017,Investment Advisor,Chicago,United States
Wellington Management Group LLP,Wellington Management Group LLP,"1,353,313",199423,9/30/2018,13F,N-P,1.71,0.014,Investment Advisor,Boston,United States
Golden Gate Private Equity Inc,Golden Gate Private Equity Inc,"1,291,195",1291195,9/30/2018,13F,N-P,1.63,20.89,Private Equity,San Francisco/San Jose,United States
Howe Scott E,--,"1,258,193",0,10/1/2018,Form 4,Y,1.59,0,Unclassified,Unclassified,n/a
Goldman Sachs Group Inc/The,--,"1,207,395",-48908,11/20/2018,ULT-AGG,N-P,1.53,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Lord Abbett & Co LLC,Lord Abbett & Co LLC,"1,177,164",-261121,9/30/2018,13F,N-P,1.49,0.161,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Contour Asset Management LLC,Contour Asset Management LLC,"1,161,453",1161453,9/30/2018,13F,N-P,1.47,2.382,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
RGM Capital LLC,RGM Capital LLC,"1,105,845",-1071612,9/30/2018,13F,N-P,1.4,4.343,Hedge Fund Manager,Naples,United States
American Capital Management Inc,American Capital Management Inc,"1,088,815",2060,9/30/2018,13F,N-P,1.38,2.352,Investment Advisor,New York City/Southern CT/Northern NJ,United States
DE Shaw & Co LP,DE Shaw & Co LP,"1,012,214",-329075,9/30/2018,13F,N-P,1.28,0.079,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Wells Fargo & Co,--,"989,925",-463366,9/30/2018,ULT-AGG,N-P,1.25,0,Investment Advisor,San Francisco/San Jose,United States
Dreyfus Corp/The,Multiple Portfolios,"974,487",-282764,9/30/2018,MF-AGG,N-P,1.23,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Fuller & Thaler Asset Management I,Fuller & Thaler Asset Management Inc,"934,632",-220311,9/30/2018,13F,N-P,1.18,0.477,Hedge Fund Manager,San Francisco/San Jose,United States
Vista Equity Partners LLC,Vista Equity Partners LLC,"871,337",313662,9/30/2018,13F,N-P,1.1,3.885,Private Equity,San Francisco/San Jose,United States
Geode Capital Management LLC,Geode Capital Management LLC,"804,068",18212,9/30/2018,13F,N-P,1.02,0.011,Investment Advisor,Boston,United States
SEI Investments Co,--,"766,729",363512,10/31/2018,ULT-AGG,N-P,0.97,0,Investment Advisor,Philadelphia,United States
Allianz SE,--,"688,336",33649,9/30/2018,ULT-AGG,N-P,0.87,0,Investment Advisor,Munich,Germany
Prudential Financial Inc,--,"667,357",299152,11/20/2018,ULT-AGG,N-P,0.84,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Neuberger Berman Group LLC,Neuberger Berman Group LLC,"652,402",-933309,9/30/2018,13F,N-P,0.83,0.037,Investment Advisor,New York City/Southern CT/Northern NJ,United States
William Blair & Co LLC,--,"645,998",-290547,9/30/2018,ULT-AGG,N-P,0.82,0,Investment Advisor,Chicago,United States
Citadel Advisors LLC,Citadel Advisors LLC,"638,112",553152,9/30/2018,13F,N-P,0.81,0.038,Hedge Fund Manager,Chicago,United States
Fort Washington Investment Advisor,Fort Washington Investment Advisors Inc,"632,413",8260,9/30/2018,13F,N-P,0.8,0.308,Investment Advisor,Cincinnati,United States
Sentinel Asset Management Inc/VT,Multiple Portfolios,"624,153",-249600,6/29/2018,MF-AGG,N-P,0.79,0,Investment Advisor,Burlington,United States
Hartford Financial Services Group,--,"615,815",14589,9/30/2018,ULT-AGG,N-P,0.78,0,Insurance Company,Hartford,United States
Partner Fund Management LP,Partner Fund Management LP,"615,767",615767,9/30/2018,13F,N-P,0.78,0.519,Hedge Fund Manager,San Francisco/San Jose,United States
Charles Schwab Corp/The,--,"587,958",-3556,9/30/2018,ULT-AGG,N-P,0.74,0,Brokerage,San Francisco/San Jose,United States
JPMorgan Chase & Co,--,"551,759",447233,9/30/2018,ULT-AGG,N-P,0.7,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Norges Bank,Norges Bank,"487,742",0,12/31/2017,13F,N-P,0.62,0.005,Sovereign Wealth Fund,Oslo,Norway
Sumitomo Mitsui Financial Group In,--,"480,150",-13315,9/30/2018,ULT-AGG,N-P,0.61,0,Bank,Tokyo,Japan
ArrowMark Colorado Holdings LLC,ArrowMark Colorado Holdings LLC,"477,645",-150000,9/30/2018,13F,N-P,0.6,0.209,Hedge Fund Manager,Denver,United States
Teachers Insurance & Annuity Assoc,--,"436,691",79509,9/30/2018,ULT-AGG,N-P,0.55,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Bank of America Corp,Bank of America Corp,"430,758",-1252262,9/30/2018,13F,N-P,0.54,0.004,Bank,Charlotte,United States
Cramer Rosenthal McGlynn LLC,Cramer Rosenthal McGlynn LLC,"421,264",-174850,9/30/2018,13F,N-P,0.53,0.399,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Schroders PLC,--,"389,059",-226908,9/30/2018,ULT-AGG,N-P,0.49,0,Investment Advisor,London,United Kingdom
Jenson Warren C,--,"376,445",-35000,11/7/2018,Form 4,Y,0.48,0,Unclassified,Unclassified,n/a
Granahan Investment Management Inc,Granahan Investment Management Inc,"373,621",352100,9/30/2018,13F,N-P,0.47,1.002,Investment Advisor,Boston,United States
Deutsche Bank AG,--,"351,442",-102079,9/30/2018,ULT-AGG,N-P,0.44,0,Investment Advisor,Frankfurt,Germany
Principal Financial Group Inc,Principal Financial Group Inc,"346,954",7118,9/30/2018,13F,N-P,0.44,0.015,Investment Advisor,Des Moines,United States
Rice Hall James & Associates LLC,Rice Hall James & Associates LLC,"320,134",-191084,9/30/2018,13F,N-P,0.41,0.566,Investment Advisor,San Diego,United States
Arra James F,--,"296,240",54709,11/9/2018,Form 4,Y,0.37,0,Unclassified,Unclassified,n/a
State of California,--,"292,304",22631,9/30/2018,ULT-AGG,N-P,0.37,0,Government,Sacramento,United States
Frank Russell Co,Frank Russell Co,"288,336",-76751,9/30/2018,13F,N-P,0.36,0.027,Investment Advisor,Seattle,United States
Luther King Capital Management Cor,Luther King Capital Management Corp,"281,979",-12891,9/30/2018,13F,N-P,0.36,0.105,Investment Advisor,Dallas/Ft. Worth,United States
Aster Investment Management Co Inc,Multiple Portfolios,"272,645",-150000,9/28/2018,MF-AGG,N-P,0.34,0,Investment Advisor,San Francisco/San Jose,United States
Susquehanna International Group LL,Susquehanna International Group LLP,"249,200",200284,9/30/2018,13F,N-P,0.32,0.043,Investment Advisor,Philadelphia,United States
Jones Jerry C,--,"247,211",31744,10/19/2018,Form 4,Y,0.31,0,Unclassified,Unclassified,n/a
American Beacon Advisors Inc,Multiple Portfolios,"240,206",-171975,8/31/2018,MF-AGG,N-P,0.3,0,Investment Advisor,Dallas/Ft. Worth,United States
Ameriprise Financial Inc,--,"238,756",23882,9/30/2018,ULT-AGG,N-P,0.3,0,Insurance Company,Unclassified,United States
Gupta Anneka R,--,"238,351",63488,10/19/2018,Form 4,Y,0.3,0,Unclassified,Unclassified,n/a
MNA Advisors Inc,Multiple Portfolios,"235,020",235020,10/31/2018,MF-AGG,N-P,0.3,0,Investment Advisor,Toronto,United States
Nationwide Fund Advisors,Multiple Portfolios,"234,542",-1984,10/31/2018,MF-AGG,N-P,0.3,0,Investment Advisor,Philadelphia,United States
Parametric Portfolio Associates LL,Parametric Portfolio Associates LLC,"215,486",-63390,9/30/2018,13F,N-P,0.27,0.009,Investment Advisor,Seattle,United States
Pier Capital LLC,Pier Capital LLC,"210,958",210958,9/30/2018,13F,N-P,0.27,1.315,Investment Advisor,New York City/Southern CT/Northern NJ,United States
American International Group Inc,--,"204,875",-2569,6/30/2018,ULT-AGG,N-P,0.26,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Morgan Stanley,--,"204,510",-1671251,9/30/2018,ULT-AGG,N-P,0.26,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
AHL Partners LLP,AHL Partners LLP,"198,937",-30262,9/30/2018,13F,N-P,0.25,0.159,Hedge Fund Manager,London,United Kingdom
Valic Co I,Multiple Portfolios,"189,893",-1060,9/30/2018,MF-AGG,N-P,0.24,0,Investment Advisor,Unclassified,United States
May S Travis,--,"188,809",0,8/22/2018,Proxy,Y,0.24,0,Unclassified,Unclassified,n/a
Broadview Advisors LLC,Broadview Advisors LLC,"177,091",-74700,9/30/2018,13F,N-P,0.22,1.492,Investment Advisor,Milwaukee/Madison,United States
Banque Internationale a Luxembourg,Multiple Portfolios,"175,420",24015,7/31/2018,MF-AGG,N-P,0.22,0,Bank,Zurich,Switzerland
New York State Teachers Retirement,New York State Teachers Retirement System Inc,"169,469",17679,9/30/2018,13F,N-P,0.21,0.02,Pension Fund,Unclassified,United States
Jupiter Investment Management Grou,--,"160,347",3200,9/30/2018,ULT-AGG,N-P,0.2,0,Investment Advisor,London,United Kingdom
Lodge Hill Capital LLC,Lodge Hill Capital LLC,"155,000",155000,9/30/2018,13F,N-P,0.2,1.904,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Barrow Hanley Mewhinney & Strauss,Barrow Hanley Mewhinney & Strauss LLC,"146,854",-24962,9/30/2018,13F,N-P,0.19,0.012,Investment Advisor,Dallas/Ft. Worth,United States
Rhumbline Advisers LP,Rhumbline Advisers LP,"145,697",-3855,9/30/2018,13F,N-P,0.18,0.014,Investment Advisor,Boston,United States
Caption Management LLC,Caption Management LLC,"145,000",125000,9/30/2018,13F,N-P,0.18,2.593,Investment Advisor,Oklahoma City,United States
Schweizerische Nationalbank,Schweizerische Nationalbank,"138,600",0,9/30/2018,13F,N-P,0.18,0.008,Government,Zurich,Switzerland
WALMART 401K PLAN,Multiple Portfolios,"133,758",0,1/31/2016,MF-AGG,N-P,0.17,0,Pension Fund,Little Rock,United States
Erwin Richard E,--,"124,491",-421,8/23/2018,Form 4,Y,0.16,0,Unclassified,Unclassified,n/a
Next Century Growth Investors LLC,Next Century Growth Investors LLC,"121,503",121503,9/30/2018,13F,N-P,0.15,0.696,Investment Advisor,Minneapolis/St. Paul,United States
AllianceBernstein LP,--,"119,241",2970,9/30/2018,ULT-AGG,N-P,0.15,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Bluefin Trading LLC,Bluefin Trading LLC,"118,404",118404,9/30/2018,13F,N-P,0.15,0.598,Brokerage,New York City/Southern CT/Northern NJ,United States
Dillard William T,--,"117,291",1058,11/14/2018,Form 4,Y,0.15,0,Unclassified,Unclassified,n/a
MORGAN STANLEY 401K PLAN,Multiple Portfolios,"109,920",0,12/31/2016,MF-AGG,N-P,0.14,0,Pension Fund,Unclassified,United States
First Trust Advisors LP,--,"108,517",108517,9/30/2018,ULT-AGG,N-P,0.14,0,Investment Advisor,Chicago,United States
Self Dennis D,--,"106,324",0,8/23/2018,Form 4,Y,0.13,0,Unclassified,Unclassified,n/a
State of New York,--,"102,918",14218,9/30/2018,ULT-AGG,N-P,0.13,0,Government,Albany,United States
Massachusetts Mutual Life Insuranc,--,"102,082",-111,9/30/2018,ULT-AGG,N-P,0.13,0,Insurance Company,Hartford,United States
AQR Capital Management LLC,AQR Capital Management LLC,"100,632",-254036,9/30/2018,13F,N-P,0.13,0.005,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
MetLife Investment Advisors LLC,MetLife Investment Advisors LLC,"100,601",17848,9/30/2018,13F,N-P,0.13,0.049,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Pacific Life Insurance Co,Multiple Portfolios,"92,529",-10511,10/31/2018,MF-AGG,N-P,0.12,0,Insurance Company,Los Angeles/Pasadena,United States
Cowen Inc,--,"90,000",90000,9/30/2018,ULT-AGG,N-P,0.11,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Kokich Clark M,--,"89,442",1138,11/14/2018,Form 4,Y,0.11,0,Unclassified,Unclassified,n/a
Falcon Point Capital LLC,Falcon Point Capital LLC,"88,681",-258970,9/30/2018,13F,N-P,0.11,0.941,Hedge Fund Manager,San Francisco/San Jose,United States
Clarius Group LLC/The,Clarius Group LLC/The,"88,304",1245,9/30/2018,13F,N-P,0.11,1.546,Investment Advisor,Seattle,United States
UBS AG,--,"87,396",8915,9/30/2018,ULT-AGG,N-P,0.11,0,Investment Advisor,Zurich,Switzerland
CWM LLC,CWM LLC,"86,645",22030,9/30/2018,13F,N-P,0.11,0.109,Investment Advisor,Omaha,United States
Invesco Ltd,--,"80,997",-1113,9/30/2018,ULT-AGG,N-P,0.1,0,Investment Advisor,Atlanta,United States
Weiss Multi-Strategy Advisers LLC,Weiss Multi-Strategy Advisers LLC,"80,000",-170000,9/30/2018,13F,N-P,0.1,0.163,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
United Services Automobile Associa,--,"78,235",45083,9/30/2018,ULT-AGG,N-P,0.1,0,Insurance Company,San Antonio,United States
Legal & General Group PLC,Legal & General Group PLC,"77,281",-621,9/30/2018,13F,N-P,0.1,0.003,Investment Advisor,London,United Kingdom
Gramaglia Jerome D,--,"76,330",1122,11/14/2018,Form 4,Y,0.1,0,Unclassified,Unclassified,n/a
Renaissance Technologies LLC,Renaissance Technologies LLC,"76,200",76200,9/30/2018,13F,N-P,0.1,0.004,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Barclays PLC,--,"74,328",38840,9/30/2018,ULT-AGG,N-P,0.09,0,Investment Advisor,London,United Kingdom
PDT Partners LLC,PDT Partners LLC,"73,908",37376,9/30/2018,13F,N-P,0.09,0.152,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Macquarie Group Ltd,--,"71,765",-25861,9/30/2018,ULT-AGG,N-P,0.09,0,Investment Advisor,Sydney,Australia
FundLogic SAS/France,FundLogic SAS/France,"70,776",-324878,9/30/2018,13F,N-P,0.09,0.222,Investment Advisor,Paris,France
Credit Suisse Group AG,--,"68,746",-18623,9/30/2018,ULT-AGG,N-P,0.09,0,Investment Advisor,Zurich,Switzerland
EAM Investors LLC,EAM Investors LLC,"65,933",65933,9/30/2018,13F,N-P,0.08,0.484,Hedge Fund Manager,San Diego,United States
Mutual of America Capital Manageme,Mutual of America Capital Management LLC,"65,709",-424,9/30/2018,13F,N-P,0.08,0.046,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Jane Street Group LLC,Jane Street Group LLC,"63,518",34389,9/30/2018,13F,N-P,0.08,0.019,Brokerage,New York City/Southern CT/Northern NJ,United States
Monroe Terilyn Juarez,--,"62,511",-681,9/14/2017,Form 4,Y,0.08,0,Unclassified,Unclassified,n/a
Stifel Financial Corp,Stifel Financial Corp,"61,084",4143,9/30/2018,13F,N-P,0.08,0.008,Holding Company,Saint Louis,United States
BMO Financial Corp,--,"55,307",-11883,9/30/2018,ULT-AGG,N-P,0.07,0,Bank,Toronto,Canada
Aperio Group LLC,Aperio Group LLC,"54,685",-1127,9/30/2018,13F,N-P,0.07,0.012,Investment Advisor,San Francisco/San Jose,United States
Comerica Bank/Detroit,Comerica Bank/Detroit,"54,137",-10382,9/30/2018,13F,N-P,0.07,0.02,Bank,Detroit,United States
AMR EXPRESS PLAN,Multiple Portfolios,"54,000",0,12/31/2016,MF-AGG,N-P,0.07,0,Pension Fund,Unclassified,United States
Texas Permanent School Fund,Texas Permanent School Fund,"48,746",-989,9/30/2018,13F,N-P,0.06,0.033,Endowment,Austin,United States
State Board Of Administration Of F,State Board Of Administration Of Florida Retire,"48,266",-15030,9/30/2018,13F,N-P,0.06,0.006,Pension Fund,Tallahassee,United States
Kentucky Teachers Retirement Syst,Kentucky Teachers Retirement System,"45,954",-6766,9/30/2018,13F,N-P,0.06,0.027,Pension Fund,Louisville,United States
ART Advisors LLC,ART Advisors LLC,"43,702",43702,9/30/2018,13F,N-P,0.06,0.098,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Power Corp of Canada,--,"43,314",-1665,9/30/2018,ULT-AGG,N-P,0.05,0,Holding Company,Montreal,Canada
Dreyfus Investment Funds,Multiple Portfolios,"43,198",-31622,8/31/2018,MF-AGG,N-P,0.05,0,Investment Advisor,Boston,United States
Fox Richard P,--,"41,436",684,11/14/2018,Form 4,Y,0.05,0,Unclassified,Unclassified,n/a
Henderson William J,--,"40,484",684,11/14/2018,Form 4,Y,0.05,0,Unclassified,Unclassified,n/a
Mason Street Advisors LLC,Mason Street Advisors LLC,"39,790",267,9/30/2018,13F,N-P,0.05,0.042,Investment Advisor,Milwaukee/Madison,United States
Cadogan Timothy R,--,"37,176",684,11/14/2018,Form 4,Y,0.05,0,Unclassified,Unclassified,n/a
Battelle John L,--,"36,765",738,11/14/2018,Form 4,Y,0.05,0,Unclassified,Unclassified,n/a
Empirical Finance LLC,Multiple Portfolios,"36,691",0,11/20/2018,MF-AGG,N-P,0.05,0,Investment Advisor,Philadelphia,United States
Empowered Funds LLC,Empowered Funds LLC,"36,691",36691,9/30/2018,13F,N-P,0.05,0.536,Investment Advisor,Philadelphia,United States
Canadian Imperial Bank of Commerce,--,"35,670",6228,6/30/2018,ULT-AGG,N-P,0.05,0,Bank,Toronto,Canada
Royal Bank of Canada,--,"35,003",26475,9/30/2018,ULT-AGG,N-P,0.04,0,Bank,Toronto,Canada
Oxford Asset Management LLP,Oxford Asset Management LLP,"34,211",-18887,9/30/2018,13F,N-P,0.04,0.038,Hedge Fund Manager,London,United Kingdom
LPL Financial LLC,LPL Financial LLC,"32,688",32688,9/30/2018,13F,N-P,0.04,0.004,Investment Advisor,Boston,United States
State Farm Mutual Automobile Insur,Multiple Portfolios,"32,685",642,6/30/2018,MF-AGG,N-P,0.04,0,Insurance Company,Springfield,United States
EARNEST Partners LLC,EARNEST Partners LLC,"32,630",-789921,9/30/2018,13F,N-P,0.04,0.014,Investment Advisor,Atlanta,United States
Peak6 Investments LP,Peak6 Investments LP,"31,500",-30163,9/30/2018,13F,N-P,0.04,0.063,Hedge Fund Manager,Chicago,United States
